DeviceModeId,DeviceTypeId,DeviceModeCode,DeviceModeName,Manufacturer,RatedPower,FactoryModeName
4E6D5729-9C1E-4866-A6A6-52A60064214B,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,23,KYN61-40.5,山东泰开真空开关有限公司,NULL,KYN61-40.5
00D534F8-0945-495D-A25C-52D39D309891,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,12,DTSD3000,厦门红相电力设备有限公司,NULL,DTSD3000
06656AB7-8B3A-4B07-B2B5-53E30DDCA4E6,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,15,SFZ11-50000-115/35GYW,天威云南变压器股份有限公司,NULL,SFZ11-50000-115/35GYW
B614A42A-70D7-45F3-8A33-55088DDE2D80,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,2,DTSD341,威胜集团,NULL,DTSD341
A35DAABB-8198-4EE5-B4DE-55218524C219,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,19,JDZX9-35F,山东泰开,NULL,JDZX9-35F
7FA51C15-A283-49E3-97E1-572BA203A02D,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,17,ZN85A-40.5/T1250-31.5,西电宝鸡,NULL,
69D1B0E0-5690-40C2-8278-577230CC4F1C,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,3,SC9/630/35,宁波明升变压器制造有限公司,NULL,SC9/630/35
5880990F-9DEF-4C89-8A47-5931E1844A96,41042D23-F3AF-4DC1-AB23-A97950B6DD60,24,121-2500,金风,2500.0000,121-2500
214D22E1-ED99-4ACD-9D7B-59CD9AEB8114,B273F5A4-FF7E-4D08-89C3-3D36D07140DB,1,未安装,,NULL,未安装
D47CE7D8-AB8A-4460-9820-5A17B0F3A0D5,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,12,E5000-10/3,烟台东方科技环保有限公司,NULL,E5000-10/3
B47E7383-47A3-465E-9990-5B1CED62D910,41042D23-F3AF-4DC1-AB23-A97950B6DD60,33,XE116-2000_fcsj,湘电,2000.0000,XE116-2000
F8A9B959-98AD-45D3-A270-5B740BDCAE76,458FB3C3-32BC-48FF-B910-C318C461E635,11,TBEA-H1610/1000-A,特变电工新疆新能源股份有限公司,NULL,TBEA-H1610/1000-A
87370854-7E28-489B-9FF3-5BC922AA2FE2,458FB3C3-32BC-48FF-B910-C318C461E635,12,dlxh,Suntech,NULL,dlxh
8DB90AED-EF12-4BB3-89DF-5DBAB0829FC5,EE1DCF6C-E060-466F-A5CF-72C4EDAC2B26,6,国能日新_70,北京国能日新系统控制技术有限公司,NULL,国能日新_70
9CB2D1A2-47D6-4067-AB32-5DF188A1A7ED,C8B96B26-9DC8-4B91-8655-22FF6E02A593,9,DQF,江苏大全长江电器股份有限公司,NULL,DQF
C0B65A27-F3C2-4728-8F73-5E99F223C0D6,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,10,GDM-300PE05,国电光伏（江苏）有限公司,NULL,GDM-300PE05
17512892-AEAC-4707-A2E0-5F08EB605A8A,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,9,SZ11-40000/110GYW,云南变压器电气股份有限公司,NULL,SZ11-40000/110GYW
017DA537-F5E7-40B6-A305-5F3E6988B27C,C8B96B26-9DC8-4B91-8655-22FF6E02A593,25,ZBWS11-1100/35,江苏大全箱变科技有限公司,NULL,ZBWS11-1100/35
A0567E07-37BF-441A-A938-5F89DFD9DA06,41042D23-F3AF-4DC1-AB23-A97950B6DD60,11,GW82-1500,金风,1500.0000,GW82-1500
D9200D6C-2B37-4947-9EBD-60186D12A03F,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,5,SC11-250/36.75,宁波天安,NULL,SC11-250/36.75
69BD1E7C-CD86-4762-B034-620D31D46B43,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,15,KYN61-40.5,江苏大全长江电气股份有限公司,NULL,KYN61-40.5
56B5E50F-C58B-4816-9A69-62C725A65B55,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,10,SF001(防火系统),南召皇后,NULL,SF001(防火系统)
8DB648C0-650F-411D-8510-630FB37941D6,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,7,SCB11-400/35,山东泰山电工电器有限公司,NULL,SCB11-400/35
59AE5A9A-BFCF-4D0C-B0AB-633C781F8016,EE1DCF6C-E060-466F-A5CF-72C4EDAC2B26,9,美国NRG型,,NULL,美国NRG型
37850CFB-3CF3-437E-993B-63EACEF686E1,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,7,协合站,富川协合风力发电有限公司,NULL,协合站
9416703C-C50C-4984-B29B-63F3EAF915CC,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,1,CEC6-72-300P,中节能,NULL,CEC6-72-300P
52DAAEBC-8029-4B4D-AD90-64B5FC015B81,73F532E2-27D5-488C-A618-C84A164C5A6A,13,PGV1-40.5/1250-25,平高集团有限公司,NULL,PGV1-40.5/1250-25
780BE7D0-C31F-497A-A504-65600EA1117E,C8B96B26-9DC8-4B91-8655-22FF6E02A593,1,ZGS-ZG-1100/38.5,宁波天安,NULL,ZGS-ZG-1100/38.5
01026767-F725-4DF5-8050-65F8EA8B52B6,82F9B6A3-4DE6-44A8-B3C3-B71A14917665,2,采集服务,北京动力协合,NULL,
3AAAC25D-93B0-455F-8F17-66187DE0E3E0,EE1DCF6C-E060-466F-A5CF-72C4EDAC2B26,5,南瑞继保测风塔_100,南瑞继保,NULL,南瑞继保测风塔_100
ACFC9140-71E1-43B3-B1AA-662E6ED05D72,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,26,N680,EDMI,NULL,N680
B296B80F-0425-4DE6-B1E1-669FF28454F2,41042D23-F3AF-4DC1-AB23-A97950B6DD60,39,UP2000-115,联合动力,NULL,
9BC85A7B-DE81-4E1D-A365-66CB48248FD9,73F532E2-27D5-488C-A618-C84A164C5A6A,22,JL/GIA-185/30,山东泰开高压,NULL,
673C09D9-7FA3-4336-8933-673AE5DDF9AB,41042D23-F3AF-4DC1-AB23-A97950B6DD60,15,FD82-1500,东汽,1500.0000,FD82-1500
7BE7CAAD-8D51-46BF-A88E-6786186432BB,0C109926-7918-4B91-9FB1-2F71B28BACD0,3,Huadeng_GCSM-216（AGC）/Huadeng_TH-FQ（AVC）,北京四方继保自动化股份有限公司（AGC）/沈阳天河自动化工程有限公司（AVC）,NULL,GCSM-216（AGC）/Huadeng_TH-FQ（AVC）
5EF4147E-C174-4042-AAA9-67D73C611EA1,41042D23-F3AF-4DC1-AB23-A97950B6DD60,10,GW87-1500,金风,1500.0000,GW87-1500
06EB19B8-7CD0-4567-8409-6803CF2A7678,41042D23-F3AF-4DC1-AB23-A97950B6DD60,14,GW77-1500,金风,1500.0000,GW77-1500
E67EAA93-0288-4A0C-B556-6854C5B35A4D,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,10,集电线路,,NULL,集电线路
6D6BB5AB-3912-4CBB-ACCB-697FC3ED324A,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,11,WFET,长沙威胜信息技术有限公司,NULL,WFET
A7293C72-5CEE-4387-BF46-69D1BA0CF9D8,41042D23-F3AF-4DC1-AB23-A97950B6DD60,12,SL-1500,华锐,1500.0000,SL-1500
45DB9FFF-988B-44DF-82B4-6A64C205D920,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,13,PCS-915,南瑞继保,NULL,PCS-915
